MainData[UniqueID],MainData[RenewalYearMonth],MainData[Shoppers],MainData[Switchers],MainData[PreRenewalCompany],MainData[SurveyYearMonth],MainData[CurrentCompany],MainData[Renewal premium change],MainData[How much higher],MainData[How much lower],MainData[Gender],MainData[Region],MainData[Are you insured],MainData[Claimants],MainData[Did you use a PCW for shopping],MainData[StartedDateTime],MainData[Age Group],MainData[Employment status],MainData[Renewal  premium change combined],MainData[SortOrder],MainData[Retained],[SumSortOrder],[SumRenewal_premium_lower_value],[SumRenewal_premium_higher_value]
39046,202501,Non-shoppers,Non-switcher,Hastings,202504,Hastings,Lower,,£31 to £40 a year,Female,South West,Yes,Claimant,,13/04/2025 06:18,25-34,Part time employed,Lower by £31 to £40 a year,9,Retained,9,35.5,
39076,202503,Shoppers,Non-switcher,Churchill,202504,Churchill,Lower,,£101 to £125 a year,Female,North West,Yes,Non-Claimant,Yes,13/04/2025 06:34,45-54,Full time employed,Lower by £101 to £125 a year,5,Retained,5,113,
39127,202502,Shoppers,Switcher,AA,202504,Aviva,Lower,,£21 to £30 a year,Male,North West,Yes,Claimant,Yes,13/04/2025 06:58,35-44,Full time employed,Lower by £21 to £30 a year,10,Switcher,10,25.5,
39133,202501,Shoppers,Switcher,Admiral,202504,AA,Lower,,£21 to £30 a year,Female,South East,Yes,Claimant,Yes,13/04/2025 06:59,25-34,Full time employed,Lower by £21 to £30 a year,10,Switcher,10,25.5,
39175,202501,Non-shoppers,Switcher,AA,202504,Direct Line,Lower,,£31 to £40 a year,Male,South West,Yes,Claimant,,13/04/2025 07:26,35-44,Full time employed,Lower by £31 to £40 a year,9,Switcher,9,35.5,
39202,202502,Shoppers,Switcher,AA,202504,Aviva,Higher,£51 to £75 a year,,Female,North West,Yes,Non-Claimant,Yes,13/04/2025 07:44,55-64,Full time employed,Higher by £51 to £75 a year,19,Switcher,19,,63
39208,202501,Shoppers,Non-switcher,Admiral,202504,Admiral,Higher,£31 to £40 a year,,Female,South West,Yes,Non-Claimant,Yes,13/04/2025 07:50,45-54,Full time employed,Higher by £31 to £40 a year,17,Retained,17,,35.5
39307,202501,Shoppers,Non-switcher,Hastings,202504,Hastings,Higher,£11 to £20 a year,,Female,North East & Yorkshire,Yes,Claimant,Yes,13/04/2025 08:52,35-44,Full time employed,Higher by £11 to £20 a year,15,Retained,15,,15.5
39364,202501,Shoppers,Non-switcher,Direct Line,202504,Direct Line,Higher,£41 to £50 a year,,Male,South West,Yes,Claimant,Yes,13/04/2025 09:24,65+,Retired,Higher by £41 to £50 a year,18,Retained,18,,45.5
39367,202501,Shoppers,Non-switcher,AXA,202504,AXA,It was unchanged,,,Male,South West,Yes,Claimant,Yes,13/04/2025 09:33,25-34,Full time employed,Unchanged,13,Retained,13,,
39409,202503,Non-shoppers,Non-switcher,Aviva,202504,Aviva,Lower,,£21 to £30 a year,Male,North East & Yorkshire,Yes,Claimant,,13/04/2025 10:00,65+,Retired,Lower by £21 to £30 a year,10,Retained,10,25.5,
39454,202501,Shoppers,Switcher,Admiral,202504,AXA,Higher,£31 to £40 a year,,Male,Scotland,Yes,Claimant,Yes,13/04/2025 10:07,45-54,Part time employed,Higher by £31 to £40 a year,17,Switcher,17,,35.5
39487,202503,Non-shoppers,Non-switcher,Direct Line,202504,Direct Line,Higher,£76 to £100 a year,,Female,South East,Yes,Claimant,,13/04/2025 10:16,65+,Retired,Higher by £76 to £100 a year,20,Retained,20,,88
39532,202503,Shoppers,Switcher,Don’t Know / Can’t Remember,202504,Churchill,Higher,£31 to £40 a year,,Female,North East & Yorkshire,Yes,Non-Claimant,Yes,13/04/2025 10:31,65+,Retired,Higher by £31 to £40 a year,17,Switcher,17,,35.5
39544,202503,Shoppers,Switcher,LV,202504,RAC,Higher,£51 to £75 a year,,Male,Midlands,Yes,Non-Claimant,Yes,13/04/2025 10:34,55-64,Full time employed,Higher by £51 to £75 a year,19,Switcher,19,,63
39553,202504,Shoppers,Non-switcher,GoSkippy,202504,GoSkippy,Higher,£51 to £75 a year,,Female,Midlands,Yes,Claimant,Yes,13/04/2025 10:43,45-54,Houseperson,Higher by £51 to £75 a year,19,Retained,19,,63
39691,202502,Shoppers,Non-switcher,Admiral,202504,Admiral,Higher,£11 to £20 a year,,Female,Midlands,Yes,Claimant,Yes,13/04/2025 11:26,45-54,Full time employed,Higher by £11 to £20 a year,15,Retained,15,,15.5
39736,202503,Shoppers,Non-switcher,Ageas,202504,Ageas,Higher,£10 or less a year,,Female,Midlands,Yes,Claimant,Yes,13/04/2025 11:47,55-64,Retired,Higher by £10 or less a year,14,Retained,14,,5.5
39745,202503,Shoppers,Switcher,Direct Line,202504,AA,Higher,Over £350 a year,,Male,East Anglia,Yes,Claimant,Yes,13/04/2025 11:58,25-34,Full time employed,Higher by Over £350 a year,25,Switcher,25,,400.5
39751,202504,Non-shoppers,Non-switcher,AA,202504,AA,Lower,,£21 to £30 a year,Female,South West,Yes,Non-Claimant,,13/04/2025 12:01,25-34,Full time employed,Lower by £21 to £30 a year,10,Retained,10,25.5,
39775,202503,Non-shoppers,Non-switcher,AA,202504,AA,Higher,£10 or less a year,,Female,East Anglia,Yes,Claimant,,13/04/2025 12:06,55-64,Full time employed,Higher by £10 or less a year,14,Retained,14,,5.5
39808,202501,Shoppers,Non-switcher,Churchill,202504,Churchill,Lower,,£31 to £40 a year,Male,Wales,Yes,Claimant,Yes,13/04/2025 12:14,65+,Retired,Lower by £31 to £40 a year,9,Retained,9,35.5,
39877,202503,Shoppers,Non-switcher,Ageas,202504,Ageas,Higher,£10 or less a year,,Male,South East,Yes,Claimant,Yes,13/04/2025 12:33,55-64,Retired,Higher by £10 or less a year,14,Retained,14,,5.5
39924,202503,Shoppers,Switcher,Don’t Know / Can’t Remember,202504,Admiral,Higher,£151 to £250 a year,,Female,Midlands,Yes,Claimant,Yes,15/04/2025 08:27,25-34,Full time employed,Higher by £151 to £250 a year,23,Switcher,23,,200.5
39939,202501,Non-shoppers,Non-switcher,Darwin,202504,Darwin,Lower,,£76 to £100 a year,Male,South East,Yes,Non-Claimant,,15/04/2025 08:54,35-44,Full time employed,Lower by £76 to £100 a year,6,Retained,6,88,
39954,202501,Shoppers,Non-switcher,Admiral,202504,Admiral,Lower,,Over £350 a year,Female,London,Yes,Non-Claimant,Yes,15/04/2025 09:19,25-34,Full time employed,Lower by Over £350 a year,1,Retained,1,400.5,
40035,202504,Non-shoppers,Non-switcher,Direct Line,202504,Direct Line,It was unchanged,,,Male,South East,Yes,Claimant,,15/04/2025 11:55,55-64,Full time employed,Unchanged,13,Retained,13,,
40047,202503,Non-shoppers,Non-switcher,AXA,202504,AXA,Higher,£11 to £20 a year,,Female,Wales,Yes,Non-Claimant,,15/04/2025 12:08,55-64,Part time employed,Higher by £11 to £20 a year,15,Retained,15,,15.5
40059,202503,Shoppers,Non-switcher,QuoteMeHappy,202504,QuoteMeHappy,Lower,,£76 to £100 a year,Female,South East,Yes,Claimant,Yes,15/04/2025 12:18,65+,Retired,Lower by £76 to £100 a year,6,Retained,6,88,
40065,202502,Shoppers,Non-switcher,Aviva,202504,Aviva,Lower,,£21 to £30 a year,Male,North East & Yorkshire,Yes,Non-Claimant,Yes,15/04/2025 12:19,55-64,Retired,Lower by £21 to £30 a year,10,Retained,10,25.5,
40092,202503,Shoppers,Switcher,RIAS,202504,Ageas,It was unchanged,,,Female,Wales,Yes,Claimant,Yes,15/04/2025 12:32,45-54,Full time employed,Unchanged,13,Switcher,13,,
40101,202504,Shoppers,Non-switcher,Saga,202504,Saga,Lower,,£51 to £75 a year,Female,Scotland,Yes,Claimant,Yes,15/04/2025 12:34,45-54,Full time employed,Lower by £51 to £75 a year,7,Retained,7,63,
40182,202504,Shoppers,Non-switcher,AA,202504,AA,Higher,£76 to £100 a year,,Female,Wales,Yes,Non-Claimant,Yes,15/04/2025 13:07,65+,Retired,Higher by £76 to £100 a year,20,Retained,20,,88
40188,202502,Non-shoppers,Non-switcher,Other,202504,Prima,Lower,,£11 to £20 a year,Male,North West,Yes,Non-Claimant,,15/04/2025 13:13,65+,Retired,Lower by £11 to £20 a year,11,Retained,11,15.5,
