MainData[UniqueID],MainData[RenewalYearMonth],MainData[Shoppers],MainData[Switchers],MainData[PreRenewalCompany],MainData[SurveyYearMonth],MainData[CurrentCompany],MainData[Renewal premium change],MainData[How much higher],MainData[How much lower],MainData[Gender],MainData[Region],MainData[Are you insured],MainData[Claimants],MainData[Did you use a PCW for shopping],MainData[StartedDateTime],MainData[Age Group],MainData[Employment status],MainData[Renewal  premium change combined],MainData[SortOrder],MainData[Retained],[SumSortOrder],[SumRenewal_premium_lower_value],[SumRenewal_premium_higher_value]
41772,202501,Non-shoppers,Non-switcher,Admiral,202504,Admiral,Lower,,£76 to £100 a year,Male,North West,Yes,Non-Claimant,,18/04/2025 11:51,35-44,Full time employed,Lower by £76 to £100 a year,6,Retained,6,88,
41781,202501,Non-shoppers,Non-switcher,Direct Line,202504,Direct Line,Lower,,£41 to £50 a year,Female,Midlands,Yes,Claimant,,18/04/2025 11:57,45-54,Full time employed,Lower by £41 to £50 a year,8,Retained,8,45.5,
41787,202503,Shoppers,Switcher,Churchill,202504,Aviva,Higher,£51 to £75 a year,,Male,Midlands,Yes,Non-Claimant,Yes,18/04/2025 11:59,55-64,Full time employed,Higher by £51 to £75 a year,19,Switcher,19,,63
41805,202501,Shoppers,Switcher,Don’t Know / Can’t Remember,202504,Churchill,Higher,£126 to £150 a year,,Male,South East,Yes,Non-Claimant,Yes,18/04/2025 12:06,18-24,Full time employed,Higher by £126 to £150 a year,22,Switcher,22,,138
41811,202504,Non-shoppers,Non-switcher,AXA,202504,AXA,Lower,,£101 to £125 a year,Female,London,Yes,Non-Claimant,,18/04/2025 12:20,65+,Retired,Lower by £101 to £125 a year,5,Retained,5,113,
41814,202501,Shoppers,Non-switcher,Aviva,202504,Aviva,It was unchanged,,,Female,London,Yes,Non-Claimant,Yes,18/04/2025 12:21,18-24,Self employed,Unchanged,13,Retained,13,,
41895,202502,Shoppers,Non-switcher,AA,202504,AA,Higher,£51 to £75 a year,,Female,Midlands,Yes,Claimant,Yes,18/04/2025 12:58,25-34,Full time employed,Higher by £51 to £75 a year,19,Retained,19,,63
41916,202501,Shoppers,Non-switcher,Aviva,202504,Aviva,Lower,,£10 or less a year,Female,Scotland,Yes,Non-Claimant,Yes,18/04/2025 13:15,65+,Part time employed,Lower by £10 or less a year,12,Retained,12,5.5,
41961,202502,Shoppers,Switcher,RAC,202504,Geoffrey,Lower,,£101 to £125 a year,Female,South West,Yes,Non-Claimant,Yes,18/04/2025 14:11,65+,Retired,Lower by £101 to £125 a year,5,Switcher,5,113,
41973,202504,Shoppers,Non-switcher,Admiral,202504,Admiral,Higher,£101 to £125 a year,,Female,South West,Yes,Non-Claimant,Yes,18/04/2025 14:44,35-44,Full time employed,Higher by £101 to £125 a year,21,Retained,21,,113
41988,202504,Shoppers,Non-switcher,Darwin,202504,Darwin,Lower,,£76 to £100 a year,Male,Midlands,Yes,Non-Claimant,Yes,18/04/2025 15:07,65+,Retired,Lower by £76 to £100 a year,6,Retained,6,88,
41994,202501,Shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£151 to £250 a year,,Female,South East,Yes,Claimant,Yes,18/04/2025 15:10,25-34,Full time employed,Higher by £151 to £250 a year,23,Retained,23,,200.5
42000,202501,Shoppers,Switcher,AA,202504,Admiral,Lower,,£11 to £20 a year,Male,South West,Yes,Non-Claimant,Yes,18/04/2025 15:18,35-44,Self employed,Lower by £11 to £20 a year,11,Switcher,11,15.5,
42063,202501,Shoppers,Switcher,Budget,202504,Aviva,Higher,£31 to £40 a year,,Female,North East & Yorkshire,Yes,Non-Claimant,Yes,18/04/2025 15:44,65+,Part time employed,Higher by £31 to £40 a year,17,Switcher,17,,35.5
42078,202501,Shoppers,Non-switcher,AXA,202504,AXA,Higher,£31 to £40 a year,,Male,London,Yes,Claimant,Yes,18/04/2025 15:47,25-34,Full time employed,Higher by £31 to £40 a year,17,Retained,17,,35.5
42087,202502,Shoppers,Switcher,Sheilas' Wheels,202504,Admiral,Higher,£51 to £75 a year,,Female,Midlands,Yes,Non-Claimant,Yes,18/04/2025 15:51,65+,Part time employed,Higher by £51 to £75 a year,19,Switcher,19,,63
42126,202504,Shoppers,Switcher,Hastings,202504,1st Central,Lower,,£151 to £250 a year,Male,North West,Yes,Claimant,Yes,18/04/2025 16:08,65+,Retired,Lower by £151 to £250 a year,3,Switcher,3,200.5,
42150,202503,Non-shoppers,Non-switcher,Churchill,202504,Churchill,Higher,£151 to £250 a year,,Male,North West,Yes,Non-Claimant,,18/04/2025 16:18,45-54,Full time employed,Higher by £151 to £250 a year,23,Retained,23,,200.5
42153,202502,Non-shoppers,Non-switcher,Other,202504,Other,It was unchanged,,,Female,Scotland,Yes,Non-Claimant,,18/04/2025 16:18,65+,Self employed,Unchanged,13,Retained,13,,
42159,202501,Shoppers,Switcher,RAC,202504,Budget,Higher,£21 to £30 a year,,Female,South East,Yes,Claimant,Yes,18/04/2025 16:21,55-64,Houseperson,Higher by £21 to £30 a year,16,Switcher,16,,25.5
42189,202503,Shoppers,Non-switcher,Direct Line,202504,Direct Line,Lower,,£76 to £100 a year,Male,Midlands,Yes,Non-Claimant,Yes,18/04/2025 16:25,35-44,Full time employed,Lower by £76 to £100 a year,6,Retained,6,88,
42225,202504,Shoppers,Non-switcher,Admiral,202504,Admiral,Lower,,£21 to £30 a year,Male,North East & Yorkshire,Yes,Claimant,Yes,18/04/2025 16:35,45-54,Full time employed,Lower by £21 to £30 a year,10,Retained,10,25.5,
42240,202503,Shoppers,Non-switcher,Saga,202504,Saga,Higher,£11 to £20 a year,,Male,South East,Yes,Claimant,Yes,18/04/2025 16:39,65+,Retired,Higher by £11 to £20 a year,15,Retained,15,,15.5
42267,202501,Shoppers,Non-switcher,Churchill,202504,Churchill,Higher,£21 to £30 a year,,Female,Scotland,Yes,Non-Claimant,Yes,18/04/2025 16:46,55-64,Full time employed,Higher by £21 to £30 a year,16,Retained,16,,25.5
42288,202503,Shoppers,Switcher,Churchill,202504,AA,Higher,£51 to £75 a year,,Female,North West,Yes,Claimant,Yes,18/04/2025 16:55,25-34,Full time employed,Higher by £51 to £75 a year,19,Switcher,19,,63
